name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags,p_id,reviews
놀부만두,서울특별시 동대문구 휘경2동 276-33,,냉모밀,6000.0,"{'월-금,일': '오전 11시 - 오후 8시 30분 '}",,,"점심식사,혼밥,저녁식사,간식,지역주민이 찾는,서민적인,시끌벅적한,가성비좋은,푸짐한,가게부근주차가능",304,
호반,서울특별시 종로구 낙원동 85-7,,순대국,8000.0,"{'매일': '오전 11시 30분 - 오후 10시 (준비시간 15:00~16:30)', '휴무일': '매주 일요일 (첫째·셋째·다섯째 일요일 휴무)'}",,,"저녁식사,점심식사,식사모임,가족외식,술모임,접대,혼술,데이트,혼밥,회식,아침식사,서민적인,푸짐한,가성비좋은,시끌벅적한,지역주민이 찾는,이국적/이색적,조용한,캐주얼한,숨은맛집,개별룸,콜키지무료,대형룸",2234,
민벅 건대점,서울특별시 광진구 화양동 10-1,,알리오올리오,9900.0,{'매일': '오전 11시 30분 - 오후 10시 (구정 추석 당일 3시 오픈)'},,,"점심식사,저녁식사,데이트,여자끼리,가족외식,모임,기념일,식사모임,아침식사,이국적/이색적,캐주얼한,고급스러운,젊은사람이많은,깔끔한,모던한,조용한,가성비좋은,규모가큰,서민적인,예쁜,시끌벅적한,무료주차,배달가능,개별룸,현장대기필요",770,
뉴델리,서울시 동대문구 회기동 3-182,,치킨 탄두리 (한마리),15000.0,{'매일': '오전 11시 - 오후 10시 '},,,"점심식사,저녁식사,데이트,식사모임,이국적/이색적,깔끔한,캐주얼한",311,
강릉스낵,서울특별시 양천구 목동 406-65,,직송 모듬 회,60000.0,"{'월-금': '오후 5시 - 오전 1시 ', '토/일': '오후 4시 - 오전 1시 '}",,,"술모임,점심식사,저녁식사,간식,데이트,아이동반,가족외식,식사모임,혼밥,서민적인,캐주얼한,시끌벅적한,지역주민이찾는,숨은맛집,조용한,예쁜,배달가능",81,
최고집칼국수,서울특별시 도봉구 창동 443-7,,낙지해물칼국수,10000.0,{'매일': '오전 11시 - 오후 10시 '},,,"가족외식,점심식사,식사모임,회식,아이동반,저녁식사,술모임,시끌벅적한,서민적인,무료주차",1882,
풀팬,서울특별시 강동구 천호동 427-3,,시금치 플랫브레드,18700.0,"{'매일': '오전 11시 30분 - 오후 10시 ', '쉬는시간 매일': '오후 3시 30분 - 오후 4시 30분 '}",,,"점심식사,저녁식사,데이트,식사모임,친구들끼리,혼밥,가족외식,여자끼리,브런치,기념일,캐주얼한,숨은맛집,예쁜,시끌벅적한,조용한,고급스러운,이국적/이색적,서민적인,모던한,깔끔한,배달가능,무료주차,좌식",2110,
여기가전집,서울특별시 구로구 구로3동 1124-34,,모둠전,18000.0,{'월-금': '오후 2시 - 오전 2시 '},,,"저녁식사,술모임,식사모임,시끌벅적한,서민적인,가성비좋은,지역주민이 찾는",1398,
벧엘제과,서울특별시 도봉구 창동,,,,,,,"간식,아침식사,서민적인,지역주민이 찾는,가성비좋은",848,
일성수산,서울특별시 동작구 노량진동 13-8,,"프리미엄 모듬회 (소(500g), 중(750g), 대(1000g))",,"{'월-금': '오전 9시 - 오후 10시 ', '토/일': '오전 8시 - 오후 10시 '}",,,"저녁식사,술모임,회식,데이트,식사모임,가족외식,푸짐한,숨은맛집,깔끔한,지역주민이 찾는,서민적인,시끌벅적한,대형룸,개별룸,넓은좌석,배달가능",1680,
오누이,서울특별시 노원구 공릉동 400-17,,수제요거트,6000.0,"{'화요일': '정오 12시 30분 - 오후 9시 30분 ', '수-금,토': '정오 12시 30분 - 오후 9시 30분 ', '휴무일': '매주 월,일 (공지:인스타그램)'}",,,"다이어트식단,점심식사,간식,아침식사,데이트,디저트,조용한,식물이 많은,숨은맛집,지역주민이 찾는",1446,
대동문,서울시 영등포구 여의도동 35-2 2F (백상빌딩 2층),,어복쟁반(2인),47000.0,"{'매일': '오전 10시 - 오후 10시 ', '토요일': '오전 11시 - 오후 9시 ', '휴무일': '매주 일요일 '}",,,"저녁식사,점심식사,식사모임,술모임,가족외식,회식,혼밥,데이트,서민적인,지역주민이 찾는,조용한,가성비좋은,푸짐한,시끌벅적한,캐주얼한,무료주차,지하주차2시간무료",361,
낯선고기,서울특별시 서대문구 대현동 104-39,,낯선 고기(오리지널),22000.0,"{'매일': '오후 5시 - 오전 1시 ', '휴무일': '매주 일요일 '}",,,"술모임,저녁식사,회식,데이트,점심식사,식사모임,가족외식,기념일,접대,시끌벅적한,예쁜,캐주얼한,서민적인,지역주민이 찾는,조용한,가성비좋은,경관/야경이 좋은,고급스러운,푸짐한,이국적/이색적,배달가능",286,
샌드위치 하우스,서울시 성북구 동선동3가 232,,에그샐러드,5500.0,"{'월-금,토': '오전 10시 - 오후 8시 30분 ', '휴무일': '매주 일요일 (설, 추석 휴무)'}",,,"점심식사,혼밥,혼카페,지역주민이 찾는,예쁜,깔끔한,캐주얼한,이국적/이색적,조용한",1019,
홍차이 발산본점,서울특별시 강서구 마곡동 795-2,,차돌짬뽕,9500.0,"{'월-금': '오전 11시 - 오후 10시 (2시30분~5시 브레이크타임 9시라스트오더입니다.)', '토/일': '오전 11시 - 오후 9시 (브레이크타임없습니다.8시30분 라스트오더입니다.)'}",,,"저녁식사,점심식사,식사모임,혼밥,회식,가족외식,캐주얼한,푸짐한,조용한,가성비좋은,지역주민이 찾는,격식있는,깔끔한,숨은맛집,무료주차,개별룸",2262,
